position,state,endorser,endorsee,endorser party,category,points,source
DNC member,ID,Jesse Maldonado,no_endorsee,D,DNC members,1,other
DNC member,ID,Jerry C. Shriner,no_endorsee,D,DNC members,1,other
DNC member,IL,Carrie Austin,no_endorsee,D,DNC members,1,other
DNC member,IL,Jerry F. Costello,no_endorsee,D,DNC members,1,other
DNC member,IL,John J. Cullerton,no_endorsee,D,DNC members,1,other
DNC member,IL,Daniel W. Hynes,no_endorsee,D,DNC members,1,other
DNC member,IL,Iris Y. Martinez,no_endorsee,D,DNC members,1,other
DNC member,IL,Jayne Mazzotti,no_endorsee,D,DNC members,1,other
DNC member,IL,Carol Ronen,no_endorsee,D,DNC members,1,other
DNC member,IL,Becky Strezchowski,no_endorsee,D,DNC members,1,other
DNC member,IL,Karen A. Yarbrough,no_endorsee,D,DNC members,1,other
DNC member,IN,David a Frye,no_endorsee,D,DNC members,1,other
DNC member,IN,Cindy S. Henry,no_endorsee,D,DNC members,1,other
DNC member,IN,Cordelia M. Lewis-Burks,no_endorsee,D,DNC members,1,other
DNC member,IN,S. Anthony Long,no_endorsee,D,DNC members,1,other
DNC member,IN,John C. Zody,no_endorsee,D,DNC members,1,other
DNC member,IA,Scott M. Brennan,no_endorsee,D,DNC members,1,other
DNC member,IA,Andrea Phillips,no_endorsee,D,DNC members,1,other
DNC member,IA,Troy M. Price,no_endorsee,D,DNC members,1,other
DNC member,KS,Vicki Hiatt,no_endorsee,D,DNC members,1,other
DNC member,KS,Brandon Johnson,no_endorsee,D,DNC members,1,other
DNC member,KS,Teresa Garcia Krusor,no_endorsee,D,DNC members,1,other
DNC member,KS,Christopher T. Reeves,no_endorsee,D,DNC members,1,other
DNC member,KY,Cassie Chambers Armstrong,no_endorsee,D,DNC members,1,other
DNC member,KY,Susanna French,no_endorsee,D,DNC members,1,other
DNC member,KY,Charlotte Lundergan,no_endorsee,D,DNC members,1,other
DNC member,KY,Ben Self,no_endorsee,D,DNC members,1,other
DNC member,KY,Nathan Gene Smith,no_endorsee,D,DNC members,1,other
DNC member,LA,Deborah J. Langhoff,no_endorsee,D,DNC members,1,other
DNC member,LA,Michael McHale,no_endorsee,D,DNC members,1,other
DNC member,LA,Arthur Morrell,no_endorsee,D,DNC members,1,other
DNC member,LA,Karen Carter Peterson,no_endorsee,D,DNC members,1,other
DNC member,ME,Diane M. Denk,no_endorsee,D,DNC members,1,other
DNC member,ME,Erik Gundersen,no_endorsee,D,DNC members,1,other
DNC member,ME,Kathleen Marra,no_endorsee,D,DNC members,1,other
DNC member,MD,Maria C. Cordone,no_endorsee,D,DNC members,1,other
DNC member,MD,Tefere Gebre,no_endorsee,D,DNC members,1,other
DNC member,MD,Bel W. Leong-Hong,no_endorsee,D,DNC members,1,other
DNC member,MD,Yvette W. Lewis,no_endorsee,D,DNC members,1,other
DNC member,MD,Robert Martinez Jr.,no_endorsee,D,DNC members,1,other
DNC member,MD,Cory V. McCray,no_endorsee,D,DNC members,1,other
DNC member,MD,Glenard S. Middleton,no_endorsee,D,DNC members,1,other
DNC member,MD,Gregory Pecoraro,no_endorsee,D,DNC members,1,other
DNC member,MD,Marc Perrone,no_endorsee,D,DNC members,1,other
DNC member,MD,Kenneth Rigmaiden,no_endorsee,D,DNC members,1,other
DNC member,MA,Gus Bickford,no_endorsee,D,DNC members,1,other
DNC member,MA,Elaine C. Kamarck,no_endorsee,D,DNC members,1,other
DNC member,MA,Debra Kozikowski,no_endorsee,D,DNC members,1,other
DNC member,MA,David M. O'Brien,no_endorsee,D,DNC members,1,other
DNC member,MA,Melvin Poindexter,no_endorsee,D,DNC members,1,other
DNC member,MA,James Roosevelt Jr.,no_endorsee,D,DNC members,1,other
DNC member,MA,Susan Thomson,no_endorsee,D,DNC members,1,other
DNC member,MI,Lavora R. Barnes,no_endorsee,D,DNC members,1,other
DNC member,MI,Scott Benson,no_endorsee,D,DNC members,1,other
DNC member,MI,Shauna Ryder Diggs,no_endorsee,D,DNC members,1,other
DNC member,MI,Cindy Estrada,no_endorsee,D,DNC members,1,other
DNC member,MI,Paula Herbart,no_endorsee,D,DNC members,1,other
DNC member,MI,Daryl Newman,no_endorsee,D,DNC members,1,other
DNC member,MI,Virgie M. Rollins,no_endorsee,D,DNC members,1,other
DNC member,MI,Alexis Wiley,no_endorsee,D,DNC members,1,other
DNC member,MN,J.P. Barone,no_endorsee,D,DNC members,1,other
DNC member,MN,Debbie Goettel,no_endorsee,D,DNC members,1,other
DNC member,MN,Ron Harris,no_endorsee,D,DNC members,1,other
DNC member,MN,Marge Hoffa,no_endorsee,D,DNC members,1,other
DNC member,MN,Ken Martin,no_endorsee,D,DNC members,1,other
DNC member,MN,Lori A. Sellner,no_endorsee,D,DNC members,1,other
DNC member,MN,Elly Zaragoza,no_endorsee,D,DNC members,1,other
DNC member,MS,Will Colom,no_endorsee,D,DNC members,1,other
DNC member,MS,Rae Shawn Davis,no_endorsee,D,DNC members,1,other
DNC member,MS,Bobby Moak,no_endorsee,D,DNC members,1,other
DNC member,MS,Vicki R. Slater,no_endorsee,D,DNC members,1,other
DNC member,MO,Winston Apple,no_endorsee,D,DNC members,1,other
DNC member,MO,Jean Peters Baker,no_endorsee,D,DNC members,1,other
DNC member,MO,Persephone Dakopolos,no_endorsee,D,DNC members,1,other
DNC member,MO,Ethan Smith,no_endorsee,D,DNC members,1,other
DNC member,MO,Clem Smith,no_endorsee,D,DNC members,1,other
DNC member,MO,Brian Wahby,no_endorsee,D,DNC members,1,other
DNC member,MT,Bryce Bennett,no_endorsee,D,DNC members,1,other
DNC member,MT,Jean Lemire Dahlman,no_endorsee,D,DNC members,1,other
DNC member,MT,Jorge Quintana,no_endorsee,D,DNC members,1,other
DNC member,MT,Mary Sexton,no_endorsee,D,DNC members,1,other
DNC member,NE,Ron Kaminski,no_endorsee,D,DNC members,1,other
DNC member,NE,Jane Erin Fleming Kleeb,no_endorsee,D,DNC members,1,other
DNC member,NE,Frank D. LaMere,no_endorsee,D,DNC members,1,other
DNC member,NE,Patricia A. Zieg,no_endorsee,D,DNC members,1,other
DNC member,NV,Artie Blanco,no_endorsee,D,DNC members,1,other
DNC member,NV,William McCurdy II,no_endorsee,D,DNC members,1,other
DNC member,NV,Marty McGarry,no_endorsee,D,DNC members,1,other
DNC member,NH,Raymond C. Buckley II,no_endorsee,D,DNC members,1,other
DNC member,NJ,Tonio Burgos,no_endorsee,D,DNC members,1,other
DNC member,NJ,Marcia Marley,no_endorsee,D,DNC members,1,other
DNC member,NM,Marg Elliston,no_endorsee,D,DNC members,1,other
DNC member,NM,Joni Marie Gutierrez,no_endorsee,D,DNC members,1,other
DNC member,NM,Marcus Porter,no_endorsee,D,DNC members,1,other
DNC member,NM,Raymond Sanchez,no_endorsee,D,DNC members,1,other
DNC member,NY,Stuart H. Appelbaum,no_endorsee,D,DNC members,1,other
DNC member,NY,Maria Cuomo Cole,no_endorsee,D,DNC members,1,other
DNC member,NY,Vivian Cook,no_endorsee,D,DNC members,1,other
DNC member,NY,Jennifer Cunningham,no_endorsee,D,DNC members,1,other
DNC member,NY,Hazel Duke,no_endorsee,D,DNC members,1,other
DNC member,NY,Emily Giske,no_endorsee,D,DNC members,1,other
DNC member,NY,Jay S. Jacobs,no_endorsee,D,DNC members,1,other
DNC member,NY,Charlie King,no_endorsee,D,DNC members,1,other
DNC member,NY,Christopher Lowe,no_endorsee,D,DNC members,1,other
DNC member,NY,Ai-Jen Poo,no_endorsee,D,DNC members,1,other
DNC member,GA,Daniel J. Halpern,no_endorsee,D,DNC members,1,other
DNC member,NY,Michael Reich,no_endorsee,D,DNC members,1,other
DNC member,NY,Gerard J. Sweeney,no_endorsee,D,DNC members,1,other
DNC member,NY,Randi Weingarten,no_endorsee,D,DNC members,1,other
DNC member,NY,Robert Zimmerman,no_endorsee,D,DNC members,1,other
DNC member,NC,Denise D. Adams,no_endorsee,D,DNC members,1,other
DNC member,NC,Wayne Goodwin,no_endorsee,D,DNC members,1,other
DNC member,NC,Shelia A. Huggins,no_endorsee,D,DNC members,1,other
DNC member,NC,Ray McKinnon,no_endorsee,D,DNC members,1,other
DNC member,NC,Cliff Moone,no_endorsee,D,DNC members,1,other
DNC member,NC,Bobbie Richardson,no_endorsee,D,DNC members,1,other
DNC member,NC,John R. Verdejo,no_endorsee,D,DNC members,1,other
DNC member,ND,Ondine E. Baird,no_endorsee,D,DNC members,1,other
DNC member,ND,Patrick M. Hart,no_endorsee,D,DNC members,1,other
DNC member,ND,Kylie Oversen,no_endorsee,D,DNC members,1,other
DNC member,MP,Nola K. Hix,no_endorsee,D,DNC members,1,other
DNC member,MP,Daniel O. Quitugua,no_endorsee,D,DNC members,1,other
DNC member,MP,Michael A. White,no_endorsee,D,DNC members,1,other
DNC member,OH,Tim Burga,no_endorsee,D,DNC members,1,other
DNC member,OH,Isabel Framer,no_endorsee,D,DNC members,1,other
DNC member,OH,Rebecca L. Higgins,no_endorsee,D,DNC members,1,other
DNC member,OH,Mark Mallory,no_endorsee,D,DNC members,1,other
DNC member,OH,Ronald L. Malone,no_endorsee,D,DNC members,1,other
DNC member,OH,Valarie J. McCall,no_endorsee,D,DNC members,1,other
DNC member,OH,Rhine McLin,no_endorsee,D,DNC members,1,other
DNC member,OH,David A. Pepper,no_endorsee,D,DNC members,1,other
DNC member,OH,Joe Rugola,no_endorsee,D,DNC members,1,other
DNC member,OK,Brian Jones,no_endorsee,D,DNC members,1,other
DNC member,OK,Anna Langthorn,no_endorsee,D,DNC members,1,other
DNC member,OK,Betty McElderry,no_endorsee,D,DNC members,1,other
DNC member,OK,David L. Walters,no_endorsee,D,DNC members,1,other
DNC member,OR,"Carla ""KC"" Hanson",no_endorsee,D,DNC members,1,other
DNC member,OR,Matt K. Keating,no_endorsee,D,DNC members,1,other
DNC member,OR,Peter B. Lee,no_endorsee,D,DNC members,1,other
DNC member,OR,Travis Nelson,no_endorsee,D,DNC members,1,other
DNC member,OR,Tanya Shively,no_endorsee,D,DNC members,1,other
DNC member,PA,Rick Bloomingdale,no_endorsee,D,DNC members,1,other
DNC member,PA,Ronald Donatucci,no_endorsee,D,DNC members,1,other
DNC member,PA,Peggy Grove,no_endorsee,D,DNC members,1,other
DNC member,PA,Murat Guzel,no_endorsee,D,DNC members,1,other
DNC member,PA,Gerald Lawrence,no_endorsee,D,DNC members,1,other
DNC member,PA,Nancy Patton Mills,no_endorsee,D,DNC members,1,other
DNC member,PA,Ian Murray,no_endorsee,D,DNC members,1,other
DNC member,PA,Evie Rafalko-McNulty,no_endorsee,D,DNC members,1,other
DNC member,PA,Sharif T. Street,no_endorsee,D,DNC members,1,other
DNC member,PA,Marian B. Tasco,no_endorsee,D,DNC members,1,other
DNC member,PA,Sylvia C. Wilson,no_endorsee,D,DNC members,1,other
DNC member,PR,Luis D. Davila,no_endorsee,D,DNC members,1,other
DNC member,PR,Andres Lopez,no_endorsee,D,DNC members,1,other
DNC member,PR,Margarita Nolasco,no_endorsee,D,DNC members,1,other
DNC member,PR,Manuel Ortiz,no_endorsee,D,DNC members,1,other
DNC member,PR,Charles A. Rodriguez,no_endorsee,D,DNC members,1,other
DNC member,PR,Johanne M. Velez,no_endorsee,D,DNC members,1,other
DNC member,RI,Grace Diaz,no_endorsee,D,DNC members,1,other
DNC member,RI,Edna O'Neill Mattson,no_endorsee,D,DNC members,1,other
DNC member,RI,Joseph M. McNamara,no_endorsee,D,DNC members,1,other
DNC member,RI,Joseph R. Paolino Jr.,no_endorsee,D,DNC members,1,other
DNC member,SC,Gilda Cobb-Hunter,no_endorsee,D,DNC members,1,other
DNC member,SC,Carol K. Fowler,no_endorsee,D,DNC members,1,other
DNC member,SC,Jaime R. Harrison,no_endorsee,D,DNC members,1,other
DNC member,SC,Lessie Price,no_endorsee,D,DNC members,1,other
DNC member,SC,Travis Robertson Jr.,no_endorsee,D,DNC members,1,other
DNC member,SD,Paula A. Hawks,no_endorsee,D,DNC members,1,other
DNC member,SD,Deb J. Knecht,no_endorsee,D,DNC members,1,other
DNC member,SD,Randy Seiler,no_endorsee,D,DNC members,1,other
DNC member,SD,Bill E. Walsh,no_endorsee,D,DNC members,1,other
DNC member,TN,Gale Jones Carson,no_endorsee,D,DNC members,1,other
DNC member,TN,Will T. Cheek,no_endorsee,D,DNC members,1,other
DNC member,TN,Robert H. Cowan,no_endorsee,D,DNC members,1,other
DNC member,TN,Mary Mancini,no_endorsee,D,DNC members,1,other
DNC member,TN,Marisa Richmond,no_endorsee,D,DNC members,1,other
DNC member,TX,Yvonne Davis,no_endorsee,D,DNC members,1,other
DNC member,TX,AJ Durrani,no_endorsee,D,DNC members,1,other
DNC member,TX,Gilberto Hinojosa,no_endorsee,D,DNC members,1,other
DNC member,TX,Kat Hoang,no_endorsee,D,DNC members,1,other
DNC member,TX,Glen Maxey,no_endorsee,D,DNC members,1,other
DNC member,TX,Lorraine C. Miller,no_endorsee,D,DNC members,1,other
DNC member,TX,John B. Patrick,no_endorsee,D,DNC members,1,other
DNC member,TX,Hasmit R. Popat,no_endorsee,D,DNC members,1,other
DNC member,TX,Betty Z. Richie,no_endorsee,D,DNC members,1,other
DNC member,TX,Dennis D. Speight,no_endorsee,D,DNC members,1,other
DNC member,TX,Jere Talley,no_endorsee,D,DNC members,1,other
DNC member,TX,Senfronia Thompson,no_endorsee,D,DNC members,1,other
DNC member,TX,Royce B. West,no_endorsee,D,DNC members,1,other
DNC member,UT,Marcus Stevenson,no_endorsee,D,DNC members,1,other
DNC member,UT,Charles A. Stormont,no_endorsee,D,DNC members,1,other
DNC member,UT,Daisy Thomas,no_endorsee,D,DNC members,1,other
DNC member,UT,Jenny Wilson,no_endorsee,D,DNC members,1,other
DNC member,VT,Terje Anderson,no_endorsee,D,DNC members,1,other
DNC member,VT,Tim Jerman,no_endorsee,D,DNC members,1,other
DNC member,VT,Tess Taylor,no_endorsee,D,DNC members,1,other
DNC member,VI,Cecil R. Benjamin,no_endorsee,D,DNC members,1,other
DNC member,VI,Carol M. Burke,no_endorsee,D,DNC members,1,other
DNC member,VI,Carla Joseph,no_endorsee,D,DNC members,1,other
DNC member,VI,Ernest Morris,no_endorsee,D,DNC members,1,other
DNC member,VA,Yohannes Abraham,no_endorsee,D,DNC members,1,other
DNC member,VA,Marc Broklawski,no_endorsee,D,DNC members,1,other
DNC member,VA,Steven C. Cochran,no_endorsee,D,DNC members,1,other
DNC member,VA,Doris Crouse-Mays,no_endorsee,D,DNC members,1,other
DNC member,VA,Morgan W. Jameson,no_endorsee,D,DNC members,1,other
DNC member,VA,Frank Leone,no_endorsee,D,DNC members,1,other
DNC member,VA,Christopher P. Lu,no_endorsee,D,DNC members,1,other
DNC member,VA,Jennifer L. McClellan,no_endorsee,D,DNC members,1,other
DNC member,VA,Atima Omara,no_endorsee,D,DNC members,1,other
DNC member,VA,Susan R. Swecker,no_endorsee,D,DNC members,1,other
DNC member,VA,Yasmine P. Taeb,no_endorsee,D,DNC members,1,other
DNC member,VA,Jeion A. Ward,no_endorsee,D,DNC members,1,other
DNC member,WA,Ed S. Cote,no_endorsee,D,DNC members,1,other
DNC member,WA,David Green,no_endorsee,D,DNC members,1,other
DNC member,WA,Juanita G. Luiz,no_endorsee,D,DNC members,1,other
DNC member,WA,Sharon Mast,no_endorsee,D,DNC members,1,other
DNC member,WA,David T. McDonald,no_endorsee,D,DNC members,1,other
DNC member,WA,Nancy E. Monacelli,no_endorsee,D,DNC members,1,other
DNC member,WA,Candace Mumm,no_endorsee,D,DNC members,1,other
DNC member,WA,Tina Podlodowski,no_endorsee,D,DNC members,1,other
DNC member,WV,Belinda J. Biafore,no_endorsee,D,DNC members,1,other
DNC member,WV,Elaine A. Harris,no_endorsee,D,DNC members,1,other
DNC member,WV,William Laird,no_endorsee,D,DNC members,1,other
DNC member,WV,Pat Maroney,no_endorsee,D,DNC members,1,other
DNC member,WI,Janet T. Bewley,no_endorsee,D,DNC members,1,other
DNC member,WI,Martha Marie Love,no_endorsee,D,DNC members,1,other
DNC member,WI,Felesia Martin,no_endorsee,D,DNC members,1,other
DNC member,WI,Mahlon Mitchell,no_endorsee,D,DNC members,1,other
DNC member,WI,Andrew Werthmann,no_endorsee,D,DNC members,1,other
DNC member,WI,Ben Wikler,no_endorsee,D,DNC members,1,other
DNC member,WY,Joseph M. Barbuto,no_endorsee,D,DNC members,1,other
DNC member,WY,Jessica S. Chambers,no_endorsee,D,DNC members,1,other
DNC member,WY,Lucas Fralick,no_endorsee,D,DNC members,1,other
DNC member,WY,Erin O'Doherty,no_endorsee,D,DNC members,1,other
